State,Selected meteorological station ,Height above mean sea level in metres,Year,Mean temperature-Min (oC),Mean temperature-Max (oC),Rainfall-Total (mm),Rainfall-No. of days,Mean relative humidity (%)
Perak,Sitiawan,(6.8m),2004,23.6,32.6,1676.2,171.0,84.1
Perlis,Chuping  ,(21.7m),2004,23.8,33.1,1721.8,155.0,81.7
Pulau Pinang,Bayan Lepas,(2.5 m),2004,25.0,32.0,2051.7,177.0,77.3
Pulau Pinang,Butterworth,(3.3m),2004,24.1,32.7,2153.3,167.0,80.8
Sabah,Kota Kinabalu,(2.1m),2004,23.9,32.2,1897.4,171.0,79.6
Sabah,Kudat,(3.5m),2004,24.4,31.7,2115.3,156.0,82.6
Sabah,Sandakan,(12.1m),2004,24.5,31.8,3532.8,181.0,82.2
Sabah,Tawau,(17.5m),2004,23.2,31.1,1749.5,154.0,82.7
Sarawak,Kuching,(20.9m),2004,23.3,31.6,4861.8,238.0,84.2
Sarawak,Miri ,(17.0m),2004,24.0,31.1,2647.6,184.0,85.4
Selangor,"Kuala Lumpur International Airport (KLIA), Sepang",(16.1m),2004,24.3,32.4,1706.1,163.0,77.8
Selangor,Subang,(16.6m),2004,24.1,33.0,2775.6,185.0,79.8
Terengganu,Kuala Terengganu,(5.2m),2004,23.9,31.0,2194.4,157.0,81.1
Wilayah Persekutuan Labuan,Labuan,(27.9m),2004,25.2,31.4,2407.9,176.0,79.3
Johor,Senai,(37.8m),2005,23.2,31.7,2450.0,194.0,82.9
Johor,Kluang,(88.1m),2005,23.5,32.8,2017.6,164.0,82.3
Kedah,Alor Setar,(3.9m),2005,24.4,33.1,-,-,77.8
Kedah,Pulau Langkawi,(6.4m),2005,25.1,31.9,2697.6,174.0,76.2
Kelantan,Kota Bharu,(4.4m),2005,24.0,31.1,2612.4,171.0,79.5
Kelantan,Kuala Krai,(34.9 m),2005,22.9,32.5,2717.6,178.0,85.4
Melaka,Melaka,(8.5m),2005,24.4,32.5,1875.5,162.0,77.6
Pahang,Kuantan,(15.2m),2005,23.4,32.0,2713.0,175.0,84.0
Pahang,Cameron Highlands,"(1,545.0m)",2005,15.4,22.9,2883.4,215.0,88.7
Perak,Ipoh,(40.1m),2005,24.0,33.6,2063.6,183.0,78.9
Perak,Sitiawan,(6.8m),2005,23.9,32.6,1986.4,149.0,82.0
Perlis,Chuping  ,(21.7m),2005,24.1,32.9,2155.3,162.0,80.1
Pulau Pinang,Bayan Lepas,(2.5 m),2005,24.8,31.8,2071.6,169.0,78.5
Pulau Pinang,Butterworth,(3.3m),2005,24.3,32.3,1983.0,167.0,78.3
Sabah,Kota Kinabalu,(2.1m),2005,23.9,32.3,4003.0,170.0,80.2
Sabah,Kudat,(3.5m),2005,24.2,31.8,1770.9,156.0,79.9
Sabah,Sandakan,(12.1m),2005,24.3,31.5,2460.9,180.0,82.0
Sabah,Tawau,(17.5m),2005,23.5,31.2,2086.4,164.0,82.9
Sarawak,Kuching,(20.9m),2005,23.4,31.5,3867.8,246.0,85.5
Sarawak,Miri ,(17.0m),2005,24.0,31.1,2782.6,174.0,81.9
Selangor,"Kuala Lumpur International Airport (KLIA), Sepang",(16.1m),2005,24.8,32.9,1450.9,145.0,72.9
Selangor,Subang,(16.6m),2005,24.3,32.9,2292.4,182.0,77.9
Terengganu,Kuala Terengganu,(5.2m),2005,23.9,30.9,2825.0,164.0,82.7
Wilayah Persekutuan Labuan,Labuan,(27.9m),2005,25.2,31.5,3761.1,183.0,79.1
Johor,Senai,(37.8m),2006,23.1,31.5,3075.9,195.0,84.2
Johor,Kluang,(88.1m),2006,23.4,32.7,2861.5,202.0,81.8
Kedah,Alor Setar,(3.9m),2006,24.2,32.8,2028.4,169.0,78.1
Kedah,Pulau Langkawi,(6.4m),2006,25.0,31.8,2960.6,183.0,74.6
Kelantan,Kota Bharu,(4.4m),2006,24.0,31.1,2288.8,169.0,79.9
Kelantan,Kuala Krai,(34.9 m),2006,22.9,32.1,2497.6,186.0,85.0
Melaka,Melaka,(8.5m),2006,24.1,32.1,2178.1,177.0,79.7
Pahang,Kuantan,(15.2m),2006,23.7,31.9,2977.8,181.0,84.9
Pahang,Cameron Highlands,"(1,545.0m)",2006,15.3,22.5,2777.1,249.0,87.7
Perak,Ipoh,(40.1m),2006,23.5,33.0,3278.3,209.0,81.6
Perak,Sitiawan,(6.8m),2006,23.7,32.0,2000.2,175.0,82.9
Perlis,Chuping  ,(21.7m),2006,24.0,32.7,2164.8,156.0,82.1
Pulau Pinang,Bayan Lepas,(2.5 m),2006,24.6,31.7,2057.0,180.0,80.7
Pulau Pinang,Butterworth,(3.3m),2006,24.1,32.0,2362.2,176.0,79.5
Sabah,Kota Kinabalu,(2.1m),2006,23.9,32.2,3349.7,196.0,81.7
Sabah,Kudat,(3.5m),2006,24.2,31.7,2820.3,188.0,82.1
